EXCH,Scrip,Call/Put,Exp Date,STK,BF Qty,Buy Qty,Buy Avg,Sale Qty,Sale Avg,Net Qty,MTM,Avg Rate,LTP,Today Net,Today Avg
FO,IEX,CE,27-02-2025,170.0,-30000,0,0.0,0,0.0,-30000,39000.0,3.1,1.8,0,0.0
FO,IEX,PE,27-02-2025,170.0,30000,0,0.0,0,0.0,30000,49500.0,5.45,7.1,0,0.0
FO,IEX,CE,27-02-2025,180.0,-142500,0,0.0,0,0.0,-142500,57000.0,0.9,0.5,0,0.0
FO,IEX,PE,27-02-2025,180.0,142500,0,0.0,0,0.0,142500,377625.0,13.15,15.8,0,0.0
FO,IEX,CE,27-02-2025,190.0,-7500,0,0.0,0,0.0,-7500,1125.0,0.35,0.2,0,0.0
FO,IEX,PE,27-02-2025,190.0,7500,0,0.0,0,0.0,7500,22500.0,22.5,25.5,0,0.0
FO,IEX,FF,27-02-2025,0.0,180000,0,0.0,0,0.0,180000,-554400.0,167.63,164.55,0,0.0
FO,INDUSTOWER,FF,27-02-2025,0.0,1700,0,0.0,0,0.0,1700,-6970.0,340.5,336.4,0,0.0
FO,INDUSTOWER,CE,27-02-2025,360.0,-1700,0,0.0,0,0.0,-1700,1700.0,2.5,1.5,0,0.0
FO,INDUSTOWER,PE,27-02-2025,360.0,1700,0,0.0,0,0.0,1700,5525.0,21.85,25.1,0,0.0
FO,IOC,CE,27-02-2025,120.0,-14625,0,0.0,0,0.0,-14625,1462.5,1.75,1.65,0,0.0
FO,IOC,PE,27-02-2025,120.0,14625,0,0.0,0,0.0,14625,-3656.25,3.15,2.9,0,0.0
FO,IOC,CE,27-02-2025,130.0,-58500,0,0.0,0,0.0,-58500,0.0,0.25,0.25,0,0.0
FO,IOC,PE,27-02-2025,130.0,58500,0,0.0,0,0.0,58500,-23400.0,11.7,11.3,0,0.0
FO,IOC,CE,27-02-2025,140.0,-63375,0,0.0,-4875,0.05,-68250,3168.75,0.1,0.05,-4875,0.05
FO,IOC,PE,27-02-2025,140.0,63375,4875,22.15,0,0.0,68250,-49968.75,21.73,21.0,4875,22.15
FO,IOC,CE,27-02-2025,150.0,-136500,0,0.0,0,0.0,-136500,6825.0,0.1,0.05,0,0.0
FO,IOC,PE,27-02-2025,150.0,136500,0,0.0,0,0.0,136500,-27300.0,31.3,31.1,0,0.0
FO,IOC,FF,27-02-2025,0.0,273000,4875,117.67,0,0.0,277875,62692.5,118.54,118.77,4875,117.67
FO,IRB,FF,27-02-2025,0.0,82000,0,0.0,0,0.0,82000,-153340.0,47.88,46.01,0,0.0
FO,IRB,CE,27-02-2025,50.0,-10250,0,0.0,0,0.0,-10250,4100.0,0.7,0.3,0,0.0
FO,IRB,PE,27-02-2025,50.0,10250,0,0.0,0,0.0,10250,12812.5,2.7,3.95,0,0.0
FO,IRB,CE,27-02-2025,58.0,-30750,0,0.0,0,0.0,-30750,1537.5,0.1,0.05,0,0.0
FO,IRB,PE,27-02-2025,58.0,30750,0,0.0,0,0.0,30750,59962.5,10.2,12.15,0,0.0
FO,IRB,CE,27-02-2025,60.0,-20500,0,0.0,0,0.0,-20500,1025.0,0.1,0.05,0,0.0
FO,IRB,PE,27-02-2025,60.0,20500,0,0.0,0,0.0,20500,28700.0,12.2,13.6,0,0.0
FO,IRB,CE,27-02-2025,55.0,-20500,0,0.0,0,0.0,-20500,1025.0,0.15,0.1,0,0.0
FO,IRB,PE,27-02-2025,55.0,20500,0,0.0,0,0.0,20500,24600.0,7.25,8.45,0,0.0
FO,JINDALSTEL,CE,27-02-2025,840.0,-3750,0,0.0,0,0.0,-3750,-3375.0,20.25,21.15,0,0.0
FO,JINDALSTEL,PE,27-02-2025,840.0,3750,0,0.0,0,0.0,3750,-14625.0,18.75,14.85,0,0.0
FO,JINDALSTEL,FF,27-02-2025,0.0,3750,0,0.0,0,0.0,3750,16500.0,841.3,845.7,0,0.0
FO,JIOFIN,FF,27-02-2025,0.0,9900,0,0.0,0,0.0,9900,-20988.0,223.4,221.28,0,0.0
FO,JIOFIN,CE,27-02-2025,240.0,-3300,0,0.0,0,0.0,-3300,1155.0,1.1,0.75,0,0.0
FO,JIOFIN,PE,27-02-2025,240.0,3300,0,0.0,0,0.0,3300,5610.0,17.6,19.3,0,0.0
FO,JIOFIN,CE,27-02-2025,250.0,-3300,0,0.0,0,0.0,-3300,495.0,0.55,0.4,0,0.0
FO,JIOFIN,PE,27-02-2025,250.0,3300,0,0.0,0,0.0,3300,8745.0,26.45,29.1,0,0.0
FO,JIOFIN,CE,27-02-2025,260.0,-3300,0,0.0,0,0.0,-3300,495.0,0.35,0.2,0,0.0
FO,JIOFIN,PE,27-02-2025,260.0,3300,0,0.0,0,0.0,3300,5280.0,37.1,38.7,0,0.0
FO,KALYANKJIL,CE,27-02-2025,480.0,0,0,0.0,-1550,19.48,-1550,1511.25,19.48,18.5,-1550,19.48
FO,KALYANKJIL,PE,27-02-2025,480.0,0,1550,16.93,0,0.0,1550,426.25,16.93,17.2,1550,16.93
FO,KALYANKJIL,CE,27-02-2025,500.0,4650,0,0.0,-8525,11.76,-3875,-27900.0,3.8,11.0,-8525,11.76
FO,KALYANKJIL,PE,27-02-2025,500.0,-4650,8525,27.49,0,0.0,3875,-29643.75,37.55,29.9,8525,27.49
FO,KALYANKJIL,FF,27-02-2025,0.0,-6975,16275,483.21,-775,481.85,8525,97262.5,469.84,481.25,15500,483.28
FO,KALYANKJIL,CE,27-02-2025,460.0,2325,775,30.5,-6200,31.56,-3100,-30651.25,21.41,31.3,-5425,31.71
FO,KALYANKJIL,PE,27-02-2025,460.0,-2325,5425,8.12,0,0.0,3100,-2751.25,9.79,8.9,5425,8.12
FO,KPITTECH,FF,27-02-2025,0.0,2000,0,0.0,0,0.0,2000,28800.0,1313.2,1327.6,0,0.0
